0,0,S,3,0,0
0,1,I,1,0,0
0,2,S,1,0,0
0,3,I,4,0,0
0,4,S,3,0,0
1,0,S,1,1,4872
1,1,I,1,1,211
1,2,S,4,1,173
1,3,U,0,0,52
1,4,S,0,0,112
2,0,S,4,0,527
2,1,I,1,0,93
2,2,S,0,0,104
2,3,I,0,0,91
2,4,S,3,0,96
2,5,I,1,0,97
2,6,S,4,0,77
2,7,I,4,0,89
2,8,S,1,0,89
2,9,U,2,1,184
2,10,S,5,1,192
2,11,U,1,1,200
2,12,S,2,1,175
2,13,I,4,0,56
2,14,S,4,0,147
2,15,I,3,0,32
2,16,S,5,0,150
2,17,I,2,0,20
2,18,S,2,1,161
2,19,U,4,1,185
3,0,S,3,1,193
3,1,I,1,0,178
3,2,S,0,0,20
3,3,U,2,1,197
3,4,S,4,1,157
4,0,S,2,0,0
4,1,I,4,0,0
4,2,S,3,0,0
4,3,U,0,0,0
4,4,S,2,0,0
4,5,U,1,0,0
4,6,S,3,0,0
4,7,U,4,0,0
4,8,S,5,0,0
4,9,I,3,0,0
4,10,S,4,0,0
4,11,I,2,0,0
4,12,S,0,0,0
4,13,I,0,0,0
4,14,S,3,0,0
4,15,I,2,0,0
4,16,S,0,0,0
4,17,I,3,0,0
4,18,S,5,0,0
4,19,I,2,0,0
