0,0,S,4,1,839
0,1,U,4,0,90
0,2,S,5,0,91
0,3,I,2,1,288
0,4,S,2,1,337
0,5,U,4,0,194
0,6,S,4,0,179
0,7,U,2,0,176
0,8,S,0,0,175
0,9,U,3,0,156
1,0,S,2,0,1430509067570
1,1,I,3,1,645
1,2,S,5,1,384
1,3,U,0,0,197
1,4,S,2,0,198
1,5,U,3,0,144
1,6,S,0,0,208
1,7,I,4,1,377
1,8,S,5,1,343
1,9,U,1,0,210
2,0,S,0,0,1014
2,1,I,3,0,852
2,2,S,3,0,586
2,3,I,0,0,669
2,4,S,5,0,510
3,0,S,3,1,1430509077945
3,1,I,4,0,730
3,2,S,2,0,198
3,3,I,3,0,194
3,4,S,4,0,222
3,5,U,4,1,383
3,6,S,0,1,406
3,7,U,1,1,379
3,8,S,5,1,386
3,9,U,0,1,392
4,0,S,5,0,0
4,1,I,0,0,0
4,2,S,2,0,0
4,3,U,1,0,0
4,4,S,0,0,0
4,5,U,3,0,0
4,6,S,5,0,0
4,7,I,4,0,0
4,8,S,3,0,0
4,9,I,3,0,0
5,0,S,3,0,0
5,1,U,3,0,0
5,2,S,0,0,0
5,3,U,0,0,0
5,4,S,1,0,0
5,5,U,1,0,0
5,6,S,2,0,0
5,7,I,3,0,0
5,8,S,0,0,0
5,9,I,4,0,0
6,0,S,1,0,0
6,1,U,4,0,0
6,2,S,0,0,0
6,3,U,3,0,0
6,4,S,4,0,0
6,5,U,4,0,0
6,6,S,1,0,0
6,7,I,2,0,0
6,8,S,3,0,0
6,9,U,3,0,0
